Country Name	2006	2007	2008	2009	2010	2011	2012	2013
Senegal	9358710763	11284603481	13386346543	12812994670	12932427724	14440676498	14045680427	14791699009
Singapore	147794000000	179981000000	192231000000	192406000000	236420000000	274065000000	286908000000	297941000000
Solomon Islands	456735445	516209150	608292552	597765363	681587105	868574141	989911516	1096396927
Sierra Leone	1887429110	2158653216	2505620416	2453972925	2578159496	2925391430	3529350504	4136280752
El Salvador	18550700000	20104900000	21431000000	20661000000	21418300000	23139000000	23813600000	24259100000
San Marino	1469075398	1687653983	1899809580					
Somalia								
Serbia	30607991862	40289556656	49259526053	42616653300	39368633038	46462547041	40791444603	45519650911
Sub-Saharan Africa (developing only)	761250000000	885147000000	1007620000000	964296000000	1301850000000	1459500000000	1527270000000	1612860000000
South Sudan			15550136279	12231362023	15728045817	18831595688	10368813559	11804406780
Sub-Saharan Africa (all income levels)	769345000000	895367000000	1023100000000	973757000000	1313580000000	1475360000000	1543900000000	1628600000000
Small states	114912000000	130854000000	152902000000	130375000000	147767000000	168166000000	169029000000	173270000000
Sao Tome and Principe	135181862	144259257	183464986	196473839	201037917	248286778	263328450	310684636
Suriname	2626093294	2936612022	3532969035	3875409836	4368398048	4423194614	5013030303	5298787879
Slovak Republic	70450243382	86030964960	99832535521	88634272020	89011919205	97525386433	92746685083	97707323420
Slovenia	39585411480	48114688201	55589849128	50244793832	47972988742	51248860578	46262305281	47987303638
Sweden	420029000000	487818000000	513966000000	429656000000	488378000000	563110000000	543881000000	579680000000
Swaziland	2947922183	3053823329	3019770680	3144680749	3891563478	4145772237	4049589166	3791304348
Sint Maarten (Dutch part)								
Seychelles	1019679310	1018943342	962313214	847424852	973355738	1059593023	1032199341	1443345214
Syrian Arab Republic	33332844575	40405006007						
Turks and Caicos Islands								
Chad	7422102520	8638711757	10351933632	9253484290	10657705072	12156380062	12887072082	13513552425
Togo	2202809211	2523462649	3163416556	3163000591	3172945506	3756023048	3915754216	4338575824
Thailand	207089000000	246977000000	272578000000	263711000000	318908000000	345672000000	365966000000	387252000000
Tajikistan	2830236054	3719497371	5161336170	4979481980	5642178580	6522732203	7633049792	8508103456
Turkmenistan	10277598152	12664165103	19271523179	20214385965	22148070175	29233333333	35164210526	41850877193
Timor-Leste	463000000	559000000	694000000	818000000	934000000	1123000000	1270000000	
Tonga	295998379	301064027	346850176	318522296	369212478	423038017	471575497	466259084
Trinidad and Tobago	18460889363	21830397705	28165793618	19332270662	20758191858	23676348287	23436342520	24640839008
Tunisia	34378437265	38920218579	44856586316	43454935940	44426016487	45950845291	45238619630	46993598818
Turkey	530900000000	647155000000	730337000000	614554000000	731168000000	774754000000	788863000000	822135000000
Tuvalu	22903320	27030996	30290770	27101313	31824701	39313509	39875708	38322360
Tanzania	14331231239	16825547176	20715086119	21368165683	22915004589	23874165024	28248632096	33225037490
Uganda	9942597753	12292813800	14239026768	14824492062	16030996179	15493320082	20040545045	21493615478
Ukraine	107753000000	142719000000	179992000000	117228000000	136419000000	163422000000	176603000000	177431000000
Upper middle income	7919790000000	9765360000000	11872300000000	11739000000000	14103200000000	16513800000000	17492400000000	18687400000000
Uruguay	19579479148	23410536927	30366148181	30461322498	38881102100	47236710628	50004354647	55707944622
United States	13855900000000	14477600000000	14718600000000	14418700000000	14964400000000	15517900000000	16163200000000	16768100000000
Uzbekistan	17030896203	22311393928	27934030937	32816828373	39332770929	45324319955	51183443225	56795656325
St. Vincent and the Grenadines	610778286	684049037	695428852	674922482	681225963	676406963	693304482	709358185
"Venezuela, RB"	183478000000	230364000000	315600000000	329419000000	393802000000	316482000000	381286000000	438284000000
Virgin Islands (U.S.)								
Vietnam	66371664817	77414425532	99130304099	106015000000	115932000000	135539000000	155820000000	171390000000
Vanuatu	437072934	526425740	607983815	610075807	700804286	792149701	781702874	828237181
West Bank and Gaza	4914728157	5508346521	6673500000	7268200000	8913100000	10465400000	11262141134	
World	50880100000000	57327900000000	62858000000000	59539300000000	65216800000000	72139600000000	73514200000000	75592900000000
Samoa	508505414	550967295	644145158	562357862	643059403	737053939	801803525	801916058
"Yemen, Rep."	19081726103	25633674564	30397203369	27838718233	31743751169	29207296703	31992801303	35954502304
South Africa	261007000000	286172000000	273142000000	284183000000	365208000000	403894000000	382338000000	350630000000
"Congo, Dem. Rep."	14296505933	16364027647	19206015305	18262675199	21561941369	25835398967	29306222816	32690896873
Zambia	12756957884	14056878376	17911046609	15328314220	20265396326	23731894786	24939543374	26820870559
Zimbabwe	5443896500	5291950100	4415702800	8157077400	9456808200	10956226600	12472416700	13490000000
