Country	GWP07VA	GWP07GE	GWP07RL	GWP07CC	GDP
Portugal	0.59	0.69	0.67	0.38	240157000000
Paraguay	0.15	0.56	0.49	0.14	13794909537
Qatar	NA	NA	NA	NA	79711810890
Romania	0.33	0.54	0.64	0.16	170617000000
Russian Federation	0.19	0.39	0.49	0.20	1299710000000
Rwanda	0.93	0.66	0.87	0.78	3775447706
Saudi Arabia	0.58	0.76	0.87	NA	415909000000
Sudan	0.34	0.54	0.75	0.37	45898948554
Senegal	0.31	0.46	0.69	0.30	11284603481
Singapore	0.75	0.94	0.94	0.98	179981000000
Sierra Leone	0.40	0.38	0.60	0.20	2158653216
El Salvador	0.27	0.71	0.56	0.31	20104900000
Somalia	NA	NA	NA	NA	NA
Serbia	0.48	0.52	0.61	0.31	40289556656
Suriname	NA	NA	NA	NA	2936612022
Slovak Republic	0.44	0.41	0.56	0.16	86030964960
Slovenia	0.73	0.62	0.64	0.56	48114688201
Sweden	0.66	0.70	0.70	0.73	487818000000
Swaziland	NA	NA	NA	NA	3053823329
Syrian Arab Republic	NA	NA	NA	NA	40405006007
Chad	0.10	0.20	0.37	0.15	8638711757
Togo	0.21	0.35	0.55	0.29	2523462649
Thailand	0.45	0.82	0.78	0.16	246977000000
Tajikistan	0.36	0.53	0.78	0.65	3719497371
Turkmenistan	NA	NA	NA	NA	12664165103
Trinidad and Tobago	0.27	0.58	0.47	0.18	21830397705
Tunisia	NA	0.66	0.89	NA	38920218579
Turkey	0.44	0.57	0.76	0.35	647155000000
Taiwan, China	0.17	0.65	0.57	0.20	NA
Tanzania	0.63	0.44	0.78	0.37	16825547176
Uganda	0.36	0.46	0.68	0.11	12292813800
Ukraine	0.11	0.41	0.41	0.13	142719000000
Uruguay	0.78	0.67	0.61	0.57	23410536927
United States	0.48	0.60	0.77	0.34	14477600000000
Uzbekistan	NA	NA	0.96	0.65	22311393928
Venezuela, RB	0.63	0.67	0.61	0.47	NA
Vietnam	0.76	0.66	0.82	0.49	77414425532
West Bank and Gaza	0.54	0.60	0.56	0.59	5508346521
Yemen, Rep.	0.35	0.49	0.55	0.27	NA
South Africa	0.49	0.52	0.65	0.29	286172000000
Congo, Dem. Rep.	0.24	0.21	0.50	0.15	NA
Zambia	0.21	0.52	0.58	0.09	14056878376
Zimbabwe	0.14	0.45	0.52	0.15	5291950100
